Period,n,Flagged,Proportion
2018-05-01,657800,156,2.3715415019762845e-4
2018-06-01,660865,155,2.3454109386939845e-4
2018-07-01,653532,131,2.0044925114608007e-4
2018-08-01,640610,161,2.513229578058413e-4
2018-09-01,666725,135,2.0248228280025498e-4
2018-10-01,695952,90,1.2931926339747568e-4
2018-11-01,657918,117,1.7783371179995076e-4
2018-12-01,645202,129,1.999373839510727e-4
2019-01-01,716597,152,2.1211364267503214e-4
2019-02-01,664204,126,1.8970075458744603e-4
2019-03-01,757935,156,2.0582239901838548e-4
2019-04-01,732264,129,1.7616597292779653e-4
2019-05-01,761790,167,2.1922052009083867e-4
2019-06-01,734500,188,2.559564329475834e-4
2019-07-01,771568,250,3.2401551127055555e-4
2019-08-01,775247,231,2.979695503497595e-4
2019-09-01,791020,188,2.3766782129402544e-4
2019-10-01,873496,221,2.5300631027503273e-4
2019-11-01,868312,155,1.7850726466984217e-4
2019-12-01,877174,168,1.9152414458248877e-4
2020-01-01,951659,250,2.626991390823814e-4
2020-02-01,901687,241,2.672767822980702e-4
2020-03-01,1241955,262,2.1095772391109178e-4
2020-04-01,1227548,264,2.1506287330515792e-4
2020-05-01,1286480,390,3.031527890056589e-4
2020-06-01,1542954,306,1.983208831889998e-4
2020-07-01,1538657,332,2.1577258609293689e-4
2020-08-01,1695351,339,1.999585926454168e-4
2020-09-01,1919999,328,1.708334223090741e-4
2020-10-01,1584045,276,1.7423747431417669e-4
