,Case_insensitive,Case_sensitive
353,Norfolk,
354,Solano,
355,Santa Barbara,
356,Burlington,
357,Brookhaven,
358,East Baton Rouge Parish,
359,Monterey,
360,Chester,
361,Sarasota,
362,Oakland,
363,Oakland,
364,Jefferson Parish,
365,DeKalb,
366,Minneapolis,
367,Minneapolis,
368,Dakota,
369,Lucas,
370,Pierce,
371,Cameron,
372,Essex,
373,Berks,
374,Clackamas,
375,Hillsborough,
376,Richland,
377,Loudoun,
378,Mobile,
379,New Castle,
380,Burlington,
381,Charleston,
382,Genesee,
383,Waukesha,
384,Manatee,
385,St. Charles,
386,Tulsa,
387,Tampa,
388,Tampa,
389,Arlington,
390,Arlington,
391,Riverside,
392,Placer,
393,Plymouth,
394,Macomb,
395,Delaware,
396,Tulsa,
397,Monmouth,
398,Pulaski,
399,New Orleans,
400,Orleans Parish,
401,New Orleans,
402,Wichita,
403,Wichita,
404,Wichita,
405,Wichita,
406,Lancaster,
407,New Haven,
408,Orange,
409,Collier,
410,Bakersfield,
411,Bakersfield,
412,Butler,
413,Forsyth,
414,Lane,
415,Cleveland,
416,Cleveland,
417,Cleveland,
418,Cleveland,
419,Lee,
420,Allen,
421,Aurora,
422,Osceola,
423,Brazoria,
424,Madison,
425,Stark,
426,Lehigh,
427,Hamilton,
428,Washtenaw,
429,Mercer,
430,Lake,
431,Pima,
432,Marion,
433,Greenville,
434,Bell,
435,Snohomish,
436,Nueces,
437,Anoka,
438,Larimer,
439,Davis,
440,Horry,
441,Chesterfield,
442,Douglas,
443,Anaheim,
444,Anaheim,
445,Westmoreland,
446,Marion,
447,Loudoun,
448,Urban Honolulu CDP,
449,Urban Honolulu CDP,
450,Collier,
451,Galveston,
452,Hamilton,
453,Morris,
454,Cumberland,
455,Santa Ana,
456,Santa Ana,
457,Rutherford,
458,Riverside,
459,Riverside,
460,Henrico,
461,Aurora,
462,Islip,
463,York,
464,Somerset,
465,St. Lucie,
466,Jefferson Parish,
467,Corpus Christi,
468,Corpus Christi,
469,Boulder,
470,Rockland,
471,Howard,
472,Maricopa,
473,Weld,
474,Lexington-Fayette urban,
475,Lexington-Fayette urban,
476,Fayette,
477,Islip,
478,Durham,
479,St. Louis,
480,Henderson,
481,Henderson,
482,Manatee,
483,Spartanburg,
484,Lancaster,
485,Escambia,
486,Luzerne,
487,Kansas,
488,Stockton,
489,Stockton,
490,Lubbock,
491,Lorain,
492,Rockingham,
493,Kern,
494,St. Paul,
495,St. Paul,
496,St. Paul,
497,St. Paul,
498,McHenry,
499,San Bernardino,
500,Albany,
501,Northampton,
502,Cincinnati,
503,Cincinnati,
504,Cincinnati,
505,Cincinnati,
506,St. Louis,
507,St. Louis,
508,St. Louis,
509,Pittsburgh,
510,Pittsburgh,
511,Pittsburgh,
512,Pittsburgh,
513,Lexington,
514,Oyster Bay,
515,Marion,
516,Greensboro,
517,Greensboro,
518,Essex,
519,Cumberland,
520,Dutchess,
521,Leon,
522,Greene,
523,Wayne,
524,Ingham,
525,Clayton,
526,Ottawa,
527,Gloucester,
528,Hamilton,
529,Thurston,
530,Chatham,
531,Lincoln,
532,Lincoln,
533,Bexar,
534,Anchorage Municipality,
535,Anchorage municipality,
536,Anchorage municipality,
537,Rockingham,
538,Plano,
539,Orlando,
540,Orlando,
541,Irvine,
542,Irvine,
543,Cleveland,
544,San Luis Obispo,
545,Winnebago,
546,Newark,
547,Newark,
548,Newark,
549,Newark,
550,Plano,
551,York,
552,Benton,
553,Durham,
554,Durham,
555,Dauphin,
556,Merced,
557,Bristol,
558,Pinellas,
559,Webb,
560,Sarasota,
561,Chula Vista,
562,Chula Vista,
563,Santa Cruz,
564,Toledo,
565,Toledo,
566,Toledo,
567,Toledo,
568,St. Joseph,
569,Onondaga,
570,Kitsap,
571,Fort Wayne,
572,Fort Wayne,
573,Erie,
574,Camden,
575,Westchester,
576,Alachua,
577,Horry,
578,St. Petersburg,
579,St. Petersburg,
580,New London,
581,Kalamazoo,
582,St. Johns,
583,Brown,
584,Atlantic,
585,Escambia,
586,Madison,
587,Laredo,
588,Laredo,
589,Washington,
590,Jersey,
591,Jersey,
592,Jersey,
593,Jersey,
594,Buncombe,
595,Chandler,
596,Chandler,
597,St. Tammany Parish,
598,Weber,
599,Richland,
600,St. Clair,
601,Madison,
602,Madison,
603,Madison,
604,Madison,
605,Frederick,
606,Knox,
607,Lubbock,
608,Lubbock,
609,Marin,
610,Cherokee,
611,Scottsdale,
612,Scottsdale,
613,McLennan,
614,Reno,
615,Reno,
616,Hidalgo,
617,Harford,
618,Buffalo,
619,Buffalo,
620,Buffalo,
621,Buffalo,
622,Gilbert,
623,Gilbert,
624,Berks,
625,Kent,
626,Cumberland,
627,Glendale,
628,Glendale,
629,North Las Vegas,
630,North Las Vegas,
631,Jefferson,
632,Yakima,
633,Clay,
634,Osceola,
635,Winston-Salem,
636,Winston-Salem,
637,King,
638,Spartanburg,
639,Chesapeake,
640,Chesapeake,
641,Chesapeake,
642,Somerset,
643,Lafayette Parish,
644,Forsyth,
645,Mercer,
646,Norfolk,
647,Norfolk,
648,Norfolk,
649,St. Johns,
650,Fremont,
651,Fremont,
652,Caddo Parish,
653,Garland,
654,Union,
655,Irving,
656,Irving,
657,Garland,
658,Washington,
659,Washington,
660,Oyster Bay,
661,Williamson,
662,Forsyth,
663,Arlington,
664,Pinal,
665,Yavapai,
666,Warren,
667,Henry,
668,New Hanover,
669,Sussex,
670,Clayton,
671,Hialeah,
672,Hialeah,
673,Smith,
674,Ottawa,
675,Dutchess,
676,Hinds,
677,North Hempstead,
678,Richmond,
679,Richmond,
680,Richmond,
681,Hays,
682,Lake,
683,Genesee,
684,Saratoga,
685,Canyon,
686,Whatcom,
687,Brazos,
688,Boise,
689,Boise,
690,Mahoning,
691,Oneida,
692,Brevard,
693,Berkeley,
694,Clark,
695,Linn,
696,Montgomery,
697,Seminole,
698,Jefferson,
699,Gaston,
700,Baldwin,
701,Spokane,
702,Spokane,
703,Gloucester,
704,Lexington,
705,Jackson,
706,Yolo,
707,Baton Rouge,
708,Baton Rouge,
709,Clay,
710,Butte,
711,Do�a Ana,
712,Tacoma,
713,Tacoma,
714,Shelby,
715,Cabarrus,
716,Orange,
717,San Bernardino,
718,San Bernardino,
719,Harford,
720,Modesto,
721,Modesto,
722,Hillsborough,
723,Fontana,
724,Fontana,
725,Des Moines,
726,Des Moines,
727,Yuma,
728,Moreno Valley,
729,Moreno Valley,
730,Barnstable,
731,Santa Clarita,
732,Santa Clarita,
733,Travis,
734,Mohave,
735,Fayetteville,
736,Fayetteville,
737,Okaloosa,
738,Babylon,
739,Champaign,
740,Lackawanna,
741,Birmingham,
742,Tuscaloosa,
743,Johnston,
744,Niagara,
745,Delaware,
746,Montgomery,
747,Westmoreland,
748,Oxnard,
749,Oxnard,
750,Harrison,
751,Birmingham,
752,York,
753,Washington,
754,Clermont,
755,Elkhart,
756,Rochester,
757,Rochester,
758,Rochester,
759,Rochester,
760,Hall,
761,Benton,
762,Calcasieu Parish,
763,Anderson,
764,Richmond,
765,Augusta-Richmond consolidated government,
766,St. Tammany Parish,
767,Port St. Lucie,
768,Port St. Lucie,
769,Washtenaw,
770,Hawaii,
771,Jefferson,
772,Grand Rapids,
773,Grand Rapids,
774,Grand Rapids,
775,Grand Rapids,
776,Huntsville,
777,Salt Lake,
778,Salt Lake,
779,Huntington,
780,Frisco,
781,Yonkers,
782,Yonkers,
783,Yonkers,
784,Yonkers,
785,Clay,
786,Douglas,
787,Amarillo,
788,Glendale,
789,Glendale,
790,Huntington Beach,
791,Huntington Beach,
792,McKinney,
793,McKinney,
794,St. Louis,
795,Stark,
796,Montgomery,
797,Montgomery,
798,Huntsville,
799,Trumbull,
800,Wake,
801,Onslow,
802,Augusta-Richmond consolidated government (balance),
803,Augusta-Richmond consolidated government (balance),
804,Augusta-Richmond consolidated government (balance),
805,Aurora,
806,Deschutes,
807,Akron,
808,Akron,
809,Akron,
810,Akron,
811,Little Rock,
812,Little Rock,
813,Providence,
814,Racine,
815,Tempe,
816,Tempe,
817,Muscogee,
818,Columbus,
819,Columbus,
820,Tippecanoe,
821,Overland Park,
822,Overland Park,
823,Overland Park,
824,Overland Park,
825,Sangamon,
826,Grand Prairie,
827,Tallahassee,
828,Tallahassee,
829,Cape Coral,
830,Cape Coral,
831,Hernando,
832,El Paso,
833,Minnehaha,
834,El Dorado,
835,Cumberland,
836,Beaufort,
837,Livingston,
838,Clackamas,
839,Sumner,
840,Rockland,
841,Saginaw,
842,Broome,
843,Dauphin,
844,Lehigh,
845,Charlotte,
846,Mobile,
847,Mobile,
848,Outagamie,
849,Butler,
850,Knoxville,
851,Knoxville,
852,Huntington,
853,Sarpy,
854,Shreveport,
855,New London,
856,Worcester,
