,Case_insensitive,Case_sensitive
1527,Fort Wayne,
1528,Matanuska-Susitna Borough,
1529,Androscoggin,
1530,Inglewood,
1531,Inglewood,
1532,Bradley,
1533,Lewisville,
1534,Alachua,
1535,Aiken,
1536,Hanover,
1537,St. Lawrence,
1538,Bartow,
1539,Waterbury,
1540,Waterbury,
1541,Waterbury,
1542,Waterbury,
1543,League,
1544,Bremenship,
1545,Kent,
1546,Santa Maria,
1547,Santa Maria,
1548,High Point,
1549,Davidson,
1550,Yamhill,
1551,Vigo,
1552,Miami,
1553,Tyler,
1554,Tyler,
1555,Hampden,
1556,Jefferson,
1557,Sumter,
1558,Monterey,
1559,Davie,
1560,Davie,
1561,Lakewoodship,
1562,Daly,
1563,Daly,
1564,Madison,
1565,Highlands,
1566,Trumbull,
1567,Warrenship,
1568,Houston,
1569,Indian River,
1570,Douglas,
1571,Cass,
1572,Centre,
1573,Boulder,
1574,Boulder,
1575,Allen,
1576,Allen,
1577,Monongalia,
1578,League,
1579,Ascension Parish,
1580,Elkhart,
1581,Warren,
1582,West Covina,
1583,West Covina,
1584,Berrien,
1585,Carver,
1586,Sparks,
1587,Sparks,
1588,Rockwall,
1589,DeKalb,
1590,Elginship,
1591,Wichita Falls,
1592,Wichita Falls,
1593,Eau Claire,
1594,Whitfield,
1595,Green Bay,
1596,Green Bay,
1597,Green Bay,
1598,Green Bay,
1599,San Mateo,
1600,San Mateo,
1601,Platte,
1602,Cameron,
1603,Macon,
1604,Indianapolis (balance),
1605,Franklin,
1606,Norwalk,
1607,Norwalk,
1608,Walworth,
1609,Flathead,
1610,Wicomico,
1611,Rialto,
1612,Rialto,
1613,Las Cruces,
1614,Las Cruces,
1615,Penobscot,
1616,Fond du Lac,
1617,Chico,
1618,Chico,
1619,Will,
1620,Bay,
1621,Woodbury,
1622,Niagara,
1623,St. Clair,
1624,Adams,
1625,Nilesship,
1626,Cecil,
1627,El Cajon,
1628,El Cajon,
1629,Burbank,
1630,Burbank,
1631,Lane,
1632,Amarillo,
1633,Allen,
1634,Etowah,
1635,Tompkins,
1636,Craven,
1637,South Bend,
1638,South Bend,
1639,Napervilleship,
1640,Columbiana,
1641,Renton,
1642,Renton,
1643,Indianapolis (balance),
1644,Vista,
1645,Vista,
1646,Davenport,
1647,Davenport,
1648,Sussex,
1649,Daviess,
1650,Berkeley,
1651,Shelby,
1652,Edinburg,
1653,Edinburg,
1654,Tuscaloosa,
1655,Tuscaloosa,
1656,Carmel,
1657,Carmel,
1658,Spokane Valley,
1659,Spokane Valley,
1660,San Angelo,
1661,San Angelo,
1662,Moore,
1663,Vacaville,
1664,Vacaville,
1665,Clinton chartership,
1666,Cook,
1667,Bend,
1668,Bend,
1669,Clayship,
1670,Carmel,
1671,Adams,
1672,Woodbridgeship,
1673,Hunterdon,
1674,Peoria,
1675,Peoriaship,
1676,Kenosha,
1677,Kenosha,
1678,Kenosha,
1679,Kenosha,
1680,Hanover,
1681,Beaufort,
1682,Boca Raton,
1683,Boca Raton,
1684,Baldwin,
1685,Edisonship,
1686,Nevada,
1687,New Hanover,
1688,Naperville,
1689,Laramie,
1690,Garland,
1691,Lee's Summit,
1692,Nampa,
1693,Nampa,
1694,Rio Rancho,
1695,Rio Rancho,
1696,South Fulton,
1697,South Fulton,
1698,Roanoke,
1699,Roanoke,
1700,Roanoke,
1701,Leon,
1702,Merrimack,
1703,Beaverton,
1704,Beaverton,
1705,Limestone,
1706,Hanovership,
1707,North Hempstead,
1708,Hunt,
1709,Montgomery,
1710,Floyd,
1711,Lenawee,
1712,Smith,
1713,Putnam,
1714,Yuma,
1715,Yuma,
1716,Sevier,
1717,Lawrence,
1718,Lawrence,
1719,Lawrence,
1720,Lawrence,
1721,Lancaster,
1722,Madison,
1723,Cleveland,
1724,Orlandship,
1725,Orem,
1726,Orem,
1727,Calumetship,
1728,Arapahoe,
1729,Grant,
1730,Lafourche Parish,
1731,Washington,
1732,Coweta,
1733,Rutherford,
1734,Dubuque,
1735,Longmont,
1736,Lee's Summit,
1737,Ashtabula,
1738,Sherburne,
1739,Story,
1740,Merced,
1741,Amarillo,
1742,Sutter,
1743,Fairbanks North Star Borough,
1744,Marshall,
1745,Longmont,
1746,San Marcos,
1747,San Marcos,
1748,Albany,
1749,Albany,
1750,Albany,
1751,Albany,
1752,Maury,
1753,Sandy,
1754,Sandy,
1755,Concord,
1756,Concord,
1757,Federal Way,
1758,Federal Way,
1759,Franklin,
1760,Hesperia,
1761,Hesperia,
1762,Brockton,
1763,Brockton,
1764,Brockton,
1765,Brockton,
1766,Burleigh,
1767,Compton,
1768,Compton,
1769,Flint,
1770,Flint,
1771,Flint,
1772,Flint,
1773,Erie,
1774,Erie,
1775,Erie,
1776,Erie,
1777,Greece,
1778,Steuben,
1779,New Bedford,
1780,New Bedford,
1781,New Bedford,
1782,New Bedford,
1783,Fishers,
1784,Fishers,
1785,Franklin,
1786,Whatcom,
1787,Sunrise,
1788,Sunrise,
1789,St. Charles,
1790,Roswell,
1791,Roswell,
1792,Menifee,
1793,Menifee,
1794,Tracy,
1795,Tracy,
1796,Lebanon,
1797,Walton,
1798,Plantation,
1799,Plantation,
1800,Quincy,
1801,Quincy,
1802,Quincy,
1803,Quincy,
1804,Fayette,
1805,Portsmouth,
1806,Portsmouth,
1807,Portsmouth,
1808,Robeson,
1809,Mission Viejo,
1810,Mission Viejo,
1811,Chino,
1812,Chino,
1813,Tangipahoa Parish,
1814,Lynn,
1815,Lynn,
1816,Lynn,
1817,Lynn,
1818,Nash,
1819,Ventura,
1820,Roanoke,
1821,Passaic,
1822,Toms Rivership,
1823,Edmond,
1824,Edmond,
1825,Dearborn,
1826,Dearborn,
1827,Dearborn,
1828,Dearborn,
1829,Canton chartership,
1830,DuPage,
1831,Guilford,
1832,Livonia,
1833,Livonia,
1834,Livonia,
1835,Livonia,
1836,Geauga,
1837,Yakima,
1838,Yakima,
1839,Campbell,
1840,Dallas,
1841,South Gate,
1842,South Gate,
1843,Putnam,
1844,Greenville,
1845,Greenville,
1846,Bowie,
1847,Pottawattamie,
1848,Grand Traverse,
1849,Benton,
1850,Lawton,
1851,Lawton,
1852,Portageship,
1853,Kirkland,
1854,Kirkland,
1855,Madison,
1856,Rensselaer,
1857,Asheville,
1858,Asheville,
1859,Deltona,
1860,Deltona,
1861,Lauderdale,
1862,Redding,
1863,Redding,
1864,Calvert,
1865,Newton,
1866,Rogers,
1867,Chatham,
1868,Bellingham,
1869,Bellingham,
1870,Suffolk,
1871,Suffolk,
1872,Suffolk,
1873,Victoria,
1874,Cape May,
1875,Tuscarawas,
1876,Cabell,
1877,Indio,
1878,Indio,
1879,Mount Pleasant,
1880,Mount Pleasant,
1881,North Charleston,
1882,Macombship,
1883,Carson,
1884,Carson,
1885,Santa Barbara,
1886,Santa Barbara,
1887,Elk Groveship,
1888,Conroe,
1889,Conroe,
1890,Yavapai,
1891,Rockingham,
1892,Greenburgh,
1893,Rockdale,
1894,Northumberland,
1895,St. Croix,
1896,Westminster,
1897,Westminster,
1898,Calcasieu Parish,
1899,Boone,
1900,Burke,
1901,Santa Monica,
1902,Santa Monica,
1903,New Braunfels,
1904,Livermore,
1905,Livermore,
1906,Marion,
1907,Cumberland,
1908,Leydenship,
1909,Wayne,
1910,Broken Arrow,
1911,Grafton,
1912,Palm Coast,
1913,Palm Coast,
1914,St. George,
1915,St. George,
1916,Greene,
1917,Fall River,
1918,Fall River,
1919,Fall River,
1920,Fall River,
1921,St. Clair,
1922,Randolph,
1923,Nashua,
1924,Nashua,
1925,Nashua,
1926,Nashua,
1927,Sarpy,
1928,Frederick,
1929,Allegan,
1930,Ozaukee,
1931,Addisonship,
1932,Champaign,
1933,Champaign,
1934,Champaign,
1935,Champaignship,
1936,Miami Beach,
1937,Miami Beach,
1938,Beaver,
1939,Norwalk,
1940,Norwalk,
1941,Norwalk,
1942,Norwalk,
1943,San Leandro,
1944,San Leandro,
1945,Bastrop,
1946,Du Pageship,
1947,O'Fallon,
1948,O'Fallon,
1949,Nassau,
1950,Christian,
1951,Bloomship,
1952,Newton,
1953,Newton,
1954,Newton,
1955,Newton,
1956,Reading,
1957,Reading,
1958,Reading,
1959,Reading,
1960,Liberty,
1961,Kanawha,
1962,Dougherty,
1963,Avondale,
1964,Avondale,
1965,Fort Smith,
1966,Fort Smith,
1967,Dodge,
1968,Bannock,
1969,Citrus Heights,
1970,Citrus Heights,
1971,Ogden,
1972,Ogden,
1973,Waukeganship,
1974,Dorchester,
1975,Matanuska-Susitna Borough,
1976,Lapeer,
1977,Fayetteville,
1978,Fayetteville,
1979,Josephine,
1980,Ouachita Parish,
1981,Algonquinship,
1982,Buchanan,
1983,Fort Myers,
1984,Fort Myers,
1985,Hamiltonship,
1986,Blount,
1987,Twin Falls,
1988,Goodyear,
1989,Goodyear,
1990,Mendocino,
1991,Hays,
1992,Angelina,
1993,Catawba,
1994,Northfieldship,
1995,Richardson,
1996,Bryan,
1997,Bryan,
1998,Clarkstown,
1999,Muskingum,
