batiman 
batimen 
batty boy
batty boys 
batty bwoy 
batty bwoys 
batty man 
batty men 
battyman 
battymen 
bull dyke 
bull dykes 
butt pirate
butt pirates 
chi chi bwoy 
chi chi bwoys 
chi chi man
chi chi men 
closet dyke 
closet dykes 
closet fag
closet fags 
closetfag
closetfags
cocksucker
cocksuckers
dyke
dykes
fag
fagbag
fagbags
fagdick
fagdicks
faggot
faggots
faggy
fags
fagshit
fagshits
fuck faggots
fuck gay people
fuck gays
fuck homos
fuck the gays
fucking homos
fudgepacker
fudgepackers
gay
gay mafia
gaylord
gaylords
gays should burn in hell
gays should die
gays should go to hell
ghey
gheys
Homintern
homo
homos
I hate dykes
I hate gay guys
I hate gay people
I hate gays
lavender mafia
lipstick lesbian
lipstick lesbians
niggerfag
queer
queers
shemale
shemales
tranny
velvet mafia
